iter	Passed	Remaining
0	2	242
1	4	226
2	6	198
3	8	214
4	11	219
5	13	212
6	15	208
7	18	210
8	20	210
9	22	201
10	24	199
11	27	199
12	28	191
13	29	182
14	31	176
15	32	172
16	33	165
17	36	164
18	38	164
19	40	162
20	42	159
21	44	156
22	46	155
23	49	155
24	50	152
25	52	150
26	55	149
27	57	148
28	59	146
29	61	142
30	63	141
31	66	140
32	68	139
33	71	138
34	73	137
35	75	133
36	76	130
37	78	128
38	80	126
39	83	125
40	86	123
41	88	122
42	89	118
43	92	117
44	93	114
45	96	112
46	98	111
47	100	109
48	102	106
49	104	104
50	105	101
51	106	98
52	107	95
53	109	93
54	111	91
55	113	88
56	115	86
57	118	85
58	120	83
59	123	82
60	125	80
61	127	78
62	129	76
63	131	73
64	131	70
65	133	68
66	134	66
67	136	64
68	138	62
69	140	60
70	142	58
71	144	56
72	147	54
73	149	52
74	150	50
75	153	48
76	155	46
77	158	44
78	160	42
79	163	40
80	165	38
81	167	36
82	169	34
83	171	32
84	173	30
85	176	28
86	179	26
87	180	24
88	181	22
89	184	20
90	186	18
91	189	16
92	191	14
93	193	12
94	194	10
95	196	8
96	197	6
97	198	4
98	199	2
99	201	0
